text,label,notes
Looking for an opaque fabric for a named gown pattern,detailed_question,
Corset neckline gapes when enlarging the bust,detailed_question,
Jersey bias tape won't hold a crease,detailed_question,
Armhole/shoulder slope problem on a self-drafted romper,detailed_question,
"Need pedals for two named machines, with specs",detailed_question,
How much fabric should I stash?,detailed_question,
Where can I find dual zipper tape?,detailed_question,
Trying to match fabric to an old satin texture,detailed_question,
How do I add straps to a tube top for a cosplay?,detailed_question,
Beginner machine recommendation with full list of needs,detailed_question,
My pincushion squares are coming out too big,detailed_question,
"New to serging, what do I adjust? (relies on attached photo)",low_effort_question,"Photo-dependent, little written context per locked rule"
Where can I source 4mm purple satin ribbon?,detailed_question,
How do I add weight to a stuffed animal?,detailed_question,
Are there patterns like these? (photo only),low_effort_question,Photo-reliant 'patterns like these?' with no written specifics
"Turning a mesh dress into a top and skirt, worried about lining",detailed_question,
Should I line the side panels of these curtains or not?,detailed_question,
Looking for this dress pattern (photo only),low_effort_question,"Photo-reliant pattern-ID request, no written detail"
"Cotton/linen for a maternity dress, and where to buy it",detailed_question,
"Life-sized orca plushie, total beginner",detailed_question,
Duster coat with bell sleeve and turnback cuffs,detailed_question,
"Singer 1304 jams with a thread nest, bobbin numbered",detailed_question,
Pfaff IDT vs low-shank walking foot,detailed_question,
Brother CS7000X vs XR9550 on a $300 budget,detailed_question,
What's this line by the buttons? (photo only),low_effort_question,Photo-reliant 'what's this?' per locked rule
Recreate the spacious front pocket of a bag,detailed_question,
"Beginner learning stitches, no clear ask",low_effort_question,"Vague, no specific question or constraint"
Name of a folk-dress collar edging,detailed_question,
How do I increase backstitch speed on a CS7000X?,detailed_question,
"Recutting a staining 2-piece set, will it work?",detailed_question,
Pfaff 1450 needles keep falling out,detailed_question,
"Zigzag seam allowance, do I go to the edge?",detailed_question,
"Merged seams, can't keep the curve on a RE vest",detailed_question,
Toyota RS2000 threading and tension help,detailed_question,
Gathering foot vs shirring foot,detailed_question,
"Mood palazzo pants, facing and slanted pockets",detailed_question,
"Plus-size formal pattern, full measurements given",detailed_question,
How hard is it to make this jacket with a CS7000X?,detailed_question,
"Hand-sewing a razor tear, no experience",detailed_question,
Well-fitted denim jacket pattern,detailed_question,
Is it the tension? (photo only),low_effort_question,"Photo-reliant, bare question"
"Blue medieval tunic, name/pattern? (photo only)",low_effort_question,Photo-reliant pattern-ID request
"Thread gets stuck, help (photo only)",low_effort_question,"Vague, photo-dependent"
"Detailed jamming saga, everything already tried",detailed_question,
Pattern for an 8-point Navy cover,detailed_question,
"Draped pattern, which way does the grain go?",detailed_question,
"Hand-reinforce shirt pockets, which stitch?",detailed_question,
Bodice with scoop neck and wide-set straps,detailed_question,
"Used Brother PR-620, any insight?",detailed_question,
Broke the bobbin case after shirring,detailed_question,
